user_id,item_id,cat_id,merchant_id,brand_id,time_stamp,action_type
168006,348194,544,692,517,625,0
168006,768080,984,706,1060,1016,0
168006,810877,284,692,517,625,0
168006,348194,544,692,517,625,2
168006,348194,544,692,517,625,0
168006,348194,544,692,517,625,0
168006,348194,544,692,517,625,0
168006,348194,544,692,517,625,0
168006,113153,966,964,3973,1108,0
168006,868074,856,2360,2279,1111,0
168006,212886,517,4693,3726,1111,2
168006,365229,996,3345,7088,1111,2
168006,723038,260,1890,2110,1111,0
168006,601511,966,2697,3973,1111,2
168006,560453,933,4758,3997,1111,0
168006,259226,766,1532,4914,616,0
168006,291008,766,1303,5490,616,0
168006,912262,766,389,1055,616,0
168006,768080,984,706,1060,1015,2
168006,702263,508,4758,3997,1111,0
168006,675639,933,4758,3997,1111,0
168006,365229,996,3345,7088,1111,0
168006,614554,260,884,5681,1111,0
168006,365229,996,3345,7088,1111,0
168006,768080,984,706,1060,1015,0
168006,111800,996,2548,4783,1111,0
168006,871814,260,884,5681,1111,0
168006,212886,517,4693,6402,1111,0
168006,111800,996,2548,4783,1111,3
168006,685967,452,1466,3422,1111,0
168006,364999,1475,3345,7088,1111,0
168006,365229,996,3345,7088,1111,0
168006,685967,452,1466,3422,1111,0
168006,212886,517,4693,6402,1111,0
168006,868833,1357,4758,3997,1111,0
168006,768080,984,706,1060,1017,0
168006,796125,486,1990,3588,1017,0
168006,768080,984,706,1060,1017,0
168006,796125,486,1990,3588,1017,0
168006,768080,984,706,1060,1101,0
168006,768080,984,706,1060,1021,0
168006,685967,452,1466,3422,1110,2
168006,685967,452,1466,3422,1110,0
168006,113153,966,964,3973,1110,0
168006,242138,560,2696,2814,1110,0
168006,716025,452,1466,3422,1110,0
168006,359126,1268,2171,5588,1109,0
168006,317800,661,3112,6393,1109,0
168006,685967,452,1466,3422,1110,3
168006,685967,452,1466,3422,1110,0
168006,685967,452,1466,3422,1110,0
168006,436649,452,1466,3422,1110,0
168006,685967,452,1466,3422,1110,0
168006,477163,1268,1463,4388,1110,0
168006,685967,452,1466,3422,1110,2
168006,464663,544,4138,517,625,0
122828,123800,763,3974,2550,1030,0
122828,245875,667,3974,2550,1030,0
122828,593739,763,3974,2550,1030,0
122828,347952,763,3974,2550,1030,0
122828,199606,763,3974,2550,1030,0
122828,552034,1268,3974,2550,1030,0
122828,821314,620,4365,7668,1030,0
122828,410081,620,4365,7668,1030,0
122828,343407,620,4365,7668,1030,0
122828,723550,590,2784,3165,917,0
122828,339707,590,2784,3165,917,0
122828,723550,590,2784,3165,917,0
122828,437736,1485,2378,7035,917,0
122828,854085,590,2784,3165,917,0
122828,811629,590,4611,3929,917,0
122828,811629,590,4611,3929,917,0
122828,52017,590,2784,3165,917,0
122828,470772,590,2784,3165,917,0
122828,854085,590,2784,3165,917,0
122828,218090,590,2784,3165,917,0
122828,536900,652,613,7831,905,0
122828,148417,763,3974,2550,1030,0
122828,411984,28,2854,1868,609,0
122828,508989,1103,416,5069,613,0
122828,47469,763,1038,3536,609,0
122828,806486,28,1038,3536,609,0
122828,191214,763,1038,3536,609,0
122828,496946,1103,416,5069,609,0
122828,659668,371,53,3888,823,0
122828,647297,371,53,3888,823,0
122828,884053,371,53,3888,823,0
122828,829771,371,53,3888,823,0
122828,888441,324,3011,1264,531,0
122828,21828,763,1986,1156,701,0
122828,706609,28,1986,1156,701,0
122828,89424,1265,1986,1156,701,0
122828,628856,763,1986,1156,701,0
122828,706609,28,1986,1156,701,0
122828,16092,413,1491,6458,531,0
122828,421260,1032,2434,7145,605,0
122828,715265,1268,1979,1867,1108,0
122828,227140,1268,1979,1867,1108,0
122828,715265,1268,1979,1867,1108,0
122828,821682,1032,2434,7145,605,0
122828,31334,1032,2434,7145,605,0
122828,243306,1032,2434,7145,605,0
122828,308806,1032,2434,7145,605,0
122828,365178,1032,2434,7145,605,0
122828,166408,508,2019,6753,605,0
122828,243306,1032,2434,7145,605,0
122828,299429,1032,2434,7145,605,0
122828,582522,1268,1979,1867,1108,0
122828,782888,6,708,677,1108,0
122828,536900,652,613,7831,1111,0
122828,603760,1268,2903,4000,1111,0
122828,359126,1268,2171,5588,1111,0
122828,841097,1268,3974,2550,1111,0
122828,464216,1268,2171,5588,1111,0
122828,878112,1268,2171,5588,1111,0
122828,878112,1268,2171,5588,1111,0
122828,280589,28,1627,1424,604,0
122828,794480,1265,1627,1424,604,0
122828,782808,763,1007,1870,604,0
122828,530555,28,1627,1424,604,0
122828,711444,28,1627,1424,604,0
122828,208822,28,1627,1424,604,0
122828,799016,28,1627,1424,604,0
122828,409112,1068,1627,1424,604,0
122828,794480,1265,1627,1424,604,0
122828,744646,1265,1627,1424,604,0
122828,900428,28,1627,1424,604,0
122828,794480,1265,1627,1424,604,2
122828,280589,28,1627,1424,604,0
122828,832349,28,1627,1424,604,0
122828,794480,1265,1627,1424,604,0
122828,832349,28,1627,1424,604,0
122828,900428,28,1627,1424,604,0
122828,530555,28,1627,1424,604,0
122828,794480,1265,1627,1424,604,0
122828,794480,1265,1627,1424,604,0
122828,794480,1265,1627,1424,604,0
122828,62447,763,1627,1424,604,0
122828,900428,28,1627,1424,604,0
122828,565499,28,1627,1424,604,0
122828,794480,1265,1627,1424,604,0
122828,794480,1265,1627,1424,604,0
122828,891310,358,1601,438,807,0
122828,221882,1439,3539,4069,807,0
122828,221882,1439,3539,4069,807,2
122828,150324,1439,3539,4069,807,0
122828,150324,1439,3539,4069,807,0
122828,258048,1220,3539,4069,807,0
122828,150324,1439,3539,4069,807,2
122828,221882,1439,3539,4069,807,0
122828,221882,1439,3539,4069,807,0
122828,291684,1268,1644,2204,1111,0
122828,435596,1268,1644,2204,1111,0
122828,359126,1268,2171,5588,1111,0
122828,552034,1268,3974,2550,1111,0
122828,476504,1268,3974,2550,1111,0
122828,312487,1268,2171,5588,1111,0
122828,359126,1268,2171,5588,1111,0
122828,23609,1268,2903,4000,1111,0
122828,791743,667,3974,2550,1111,0
122828,878112,1268,2171,5588,1111,0
122828,811488,1268,3974,2550,1111,0
122828,312487,1268,2171,5588,1111,0
122828,312487,1268,2171,5588,1111,0
122828,359126,1268,2171,5588,1111,0
122828,359126,1268,2171,5588,1111,0
122828,459991,1268,2171,5588,1111,0
122828,878112,1268,2171,5588,1111,0
122828,552034,1268,3974,2550,1111,0
122828,563929,1268,1644,2204,1111,0
122828,359126,1268,2171,5588,1111,0
122828,232271,1268,3974,2550,1111,0
122828,459991,1268,2171,5588,1111,0
122828,135209,652,613,7831,1111,0
122828,552034,1268,3974,2550,1111,0
122828,459991,1268,2171,5588,1111,0
122828,831232,1268,3974,2550,1111,0
122828,552034,1268,3974,2550,1111,0
122828,332868,1284,613,7831,1111,0
122828,48351,652,613,7831,1111,0
122828,672975,1268,2171,5588,1111,0
