user_id,age_range,gender
148123,5,1
168006,4,0
28301,4,0
76737,3,0
87614,4,1
97206,5,0
121684,4,0
192717,3,1
140135,4,0
160796,5,0
15328,3,0
133595,3,0
205409,4,0
34849,4,1
46633,5,0
105733,6,0
112281,3,0
134270,5,2
117572,3,0
202250,3,1
66602,4,0
183377,5,1
129471,2,0
62428,4,0
134377,5,1
1254,3,0
169944,3,0
193806,2,0
159982,4,0
131795,4,1
97853,3,1
23401,4,0
87351,4,2
63728,3,1
178118,3,0
70765,4,0
104197,4,0
131575,4,0
4995,3,0
49727,3,0
104650,4,0
188165,3,1
94512,3,2
101419,3,0
142388,5,0
138058,4,0
167744,4,0
151656,4,1
95792,3,1
153175,5,1
121184,7,1
206971,4,0
180464,4,1
12443,3,1
80954,3,1
98281,3,1
80874,4,0
182332,3,0
159558,4,1
168364,5,1
62871,5,1
6132,5,0
52812,3,1
138873,5,1
197911,7,1
138682,4,0
10837,7,1
201480,4,1
197829,3,1
151820,4,1
113670,3,1
12372,3,1
35254,5,0
19436,4,0
161226,5,1
75066,2,0
128157,4,1
183105,4,1
69736,5,1
47879,2,0
9773,5,1
138428,5,1
40785,3,1
52275,3,0
33587,4,0
182833,3,1
127748,6,1
98414,3,1
168409,3,0
20516,4,1
80275,4,0
111987,3,0
88539,3,0
4800,3,1
97305,3,2
40937,4,1
135110,4,1
162416,3,0
200855,5,1
82824,5,1
166158,6,0
27075,3,0
141836,3,0
178519,2,1
181244,3,0
91527,5,0
209731,4,0
44965,5,1
59003,6,0
64031,3,0
150903,4,0
4743,3,0
22989,4,0
38358,4,0
95625,3,0
120884,3,0
19789,3,1
4794,5,0
176051,3,0
41056,6,1
42883,3,1
38273,3,0
171335,3,1
71274,5,1
110004,3,1
202867,4,1
14007,4,0
33479,3,0
113657,4,0
13476,3,0
184980,4,0
74806,3,1
163111,3,1
130540,3,2
116826,3,0
208038,4,1
73879,3,1
117263,5,0
141380,4,0
168874,3,0
26626,4,1
127202,4,0
99351,3,0
127982,5,1
177824,3,0
178577,3,0
74929,5,0
685,4,1
167046,4,1
198694,3,0
56497,3,0
208538,3,1
91709,3,1
178961,3,0
1044,4,0
66468,4,0
64911,4,0
152628,3,0
137390,4,1
111735,4,0
107023,4,1
211800,4,0
40607,2,2
116846,3,1
53944,4,0
45213,2,1
199,4,0
148227,5,0
58562,3,0
85680,3,0
123724,3,0
193182,3,0
110522,5,0
73089,7,0
54590,3,0
139929,3,0
121328,3,0
90059,5,0
41106,3,0
94726,3,1
22679,2,0
182319,3,1
102663,3,0
127083,5,1
32206,4,1
29723,6,0
5979,4,0
198212,4,1
103723,3,0
171696,6,1
211639,3,1
118761,6,0
136624,3,0
179439,3,0
151042,3,1
6088,3,0
155601,5,0
184411,5,1
72560,5,0
111389,4,1
133558,5,0
68398,4,1
112029,5,0
136896,3,0
89148,5,0
68539,5,1
156384,4,0
112087,3,1
185391,4,0
42102,2,1
137203,3,1
66450,4,1
139228,3,2
165920,3,0
119833,5,0
49168,3,0
123751,5,0
169788,3,0
171132,3,0
179251,4,0
